,Unnamed: 0,USO_id,RMS,LUFS,dbFS,dist_group,centroid,flatness,onset_slope,time_cog,spectral_slope,centroid_control,onset_delay,onset_delay_avg
90,N_uso_300ms_20_room-10-35-3_dist-180.wav,20,54.32254,-25.00001,-39.67942,2.0,9301.20968,0.25616,170.00015,0.22313,-31.66146,11169.41205,0.00544,0.00544
91,N_uso_300ms_10_room-10-35-3_dist-2375.wav,10,55.59397,-25.43875,-38.39907,5.0,6830.27376,0.08476,184.25417,0.27122,-9.14864,9079.78731,0.06934,0.07299
92,N_uso_300ms_3_room-10-35-3_dist-1080.wav,3,55.49161,-25.56093,-38.48771,4.0,3028.06283,0.07304,121.60356,0.20662,-7.05834,6425.33807,0.00011,
93,N_uso_300ms_22_room-10-35-3_dist-450.wav,22,56.33992,-25.0,-37.63963,3.0,6582.46469,0.18139,100.28924,0.12621,-13.44204,11799.12829,0.01333,0.01478
94,N_uso_300ms_17_room-10-35-3_dist-1320.wav,17,53.904,-24.99999,-40.0981,4.0,5258.23238,0.05064,111.59784,0.20813,-7.78066,6556.91326,0.00014,
95,N_uso_300ms_7_room-10-35-3_dist-2250.wav,7,56.73056,-24.99998,-37.26407,5.0,2543.49663,0.02043,145.49495,0.26358,-3.39426,4387.34448,0.06571,0.07289
96,N_uso_300ms_5_room-10-35-3_control.wav,5,59.28055,-25.00003,-34.70265,,12763.95584,0.45129,215.84808,0.16402,-72.11645,12763.95584,0.00036,
97,N_uso_300ms_18_room-10-35-3_dist-19.wav,18,54.38183,-25.00001,-39.60312,1.0,12177.61241,0.35356,139.28413,0.17458,-23.33066,13061.88952,0.00075,0.00079
98,N_uso_300ms_22_room-10-35-3_dist-1080.wav,22,55.09959,-25.00001,-38.89814,4.0,5734.62917,0.1529,104.37762,0.14661,-11.28775,11799.12829,0.03168,0.03517
99,N_uso_300ms_27_room-10-35-3_dist-2750.wav,27,54.63296,-25.55761,-39.3535,5.0,3098.71004,0.02979,189.98663,0.23364,-9.42955,4314.0991,0.04107,0.03853
100,N_uso_300ms_17_room-10-35-3_dist-1080.wav,17,53.18074,-24.99999,-40.82467,4.0,5120.15665,0.04117,113.61163,0.20662,-7.56496,6556.91326,2e-05,
101,N_uso_300ms_28_room-10-35-3_dist-180.wav,28,56.48778,-25.00001,-37.49937,2.0,2487.75884,0.04589,192.5405,0.21076,-15.77421,3538.41813,0.00544,0.00544
102,N_uso_300ms_3_room-10-35-3_dist-1320.wav,3,56.00552,-25.49149,-37.99,4.0,3414.35885,0.07895,133.82496,0.24066,-3.07517,6425.33807,0.03864,
103,N_uso_300ms_22_room-10-35-3_dist-525.wav,22,55.12579,-25.93698,-38.87482,3.0,6366.15536,0.17669,105.70291,0.12587,-11.82527,11799.12829,0.01551,0.01478
104,N_uso_300ms_21_room-10-35-3_dist-198.wav,21,54.48423,-24.99999,-39.50241,2.0,3457.45823,0.04922,695.68751,0.23238,-11.72862,5953.88393,2e-05,3e-05
105,N_uso_300ms_25_room-10-35-3_dist-1140.wav,25,54.6105,-25.55795,-39.37815,4.0,5257.05267,0.16697,122.75129,0.21851,-18.86562,9781.01857,0.00014,
106,N_uso_300ms_7_room-10-35-3_dist-21.wav,7,56.18933,-25.00001,-37.80275,1.0,3753.45552,0.04896,159.23928,0.18227,-6.11733,4387.34448,0.00082,0.00079
107,N_uso_300ms_27_room-10-35-3_dist-525.wav,27,55.07862,-25.00002,-38.92152,3.0,3786.90844,0.04263,195.15787,0.18628,-13.89985,4314.0991,0.01551,0.01478
108,N_uso_300ms_22_room-10-35-3_dist-18.wav,22,54.6013,-25.0,-39.37815,1.0,8073.66453,0.25393,98.8453,0.11735,-19.92577,11799.12829,0.00075,0.00081
109,N_uso_300ms_11_room-10-35-3_dist-19.wav,11,54.22647,-25.0,-39.7564,1.0,12000.14116,0.35611,177.8441,0.19036,-15.94489,13178.0649,0.00075,0.00079
110,N_uso_300ms_3_room-10-35-3_dist-20.wav,3,53.90986,-25.0,-40.07133,1.0,4748.36316,0.16491,121.90862,0.16053,-13.16585,6425.33807,2e-05,5e-05
111,N_uso_300ms_10_room-10-35-3_dist-1140.wav,10,55.09931,-25.49233,-38.89814,4.0,7629.24488,0.09509,204.54489,0.2277,-11.18689,9079.78731,0.01118,0.02591
